WKT,highway,noname,name,surface,maxspeed,ref,service,oneway,lanes,tracktype,smoothness,source_1
"LINESTRING (-7013701.29002133 -2937787.87089636,-7013822.74703998 -2938195.27088365)",track,yes,,,,,,,,,,
"LINESTRING (-7012976.55591946 -2939341.39874026,-7012982.92563199 -2939315.96903995,-7012994.26678146 -2939297.93694601,-7012993.94222768 -2939277.95413051,-7012978.6603484 -2939240.57008305)",track,,,unpaved,,,,,,,,
"LINESTRING (-7012459.07772826 -2939233.84950025,-7012480.70091233 -2939219.71359993,-7012486.35061653 -2939208.32682694,-7012484.1238607 -2939198.52328167,-7012482.22553968 -2939186.43523754,-7012482.59540107 -2939177.10463474,-7012485.82496574 -2939171.3970484,-7012483.0306194 -2939162.3394379)",track,,,unpaved,,,,,,,,
"LINESTRING (-7012335.53674796 -2939163.68519988,-7012310.81639142 -2939168.98939366,-7012297.09204254 -2939161.99682239,-7012292.57937475 -2939147.84308461,-7012287.63537415 -2939123.52347726,-7012277.07038257 -2939093.79033721)",track,,,unpaved,,,,,,,,
"LINESTRING (-7012213.10247784 -2939388.23769061,-7012201.17473861 -2939353.98507658,-7012191.46607105 -2939338.04605156,-7012179.41210721 -2939324.8085433,-7012173.78848123 -2939315.35724822,-7012171.0001574 -2939304.65794274,-7012176.00458054 -2939297.81603952,-7012188.97182433 -2939291.24775801,-7012224.46202279 -2939277.59884915)",track,,,unpaved,,,,,,,,
"LINESTRING (-7012015.30730643 -2939127.33273858,-7011956.68549957 -2939119.65122811,-7011894.11676427 -2939114.06633974,-7011832.89357833 -2939109.15306782,-7011798.63728231 -2939111.17093371)",track,,,,,,,,,,,
"LINESTRING (-7013822.74703998 -2938195.27088365,-7013729.58507248 -2938226.45387934,-7013122.69617635 -2938429.6865663,-7012737.71661007 -2938559.07351353)",track,yes,,,,,,,,,,
"LINESTRING (-7012439.36036891 -2938116.67503244,-7012458.53856802 -2938145.98930094,-7012500.31057214 -2938203.78797344,-7012542.13222815 -2938271.86266818,-7012596.8067912 -2938342.44807199,-7012643.7584794 -2938405.36060296,-7012695.91363643 -2938488.79604826,-7012737.71661007 -2938559.07351353,-7012780.54899931 -2938641.46832877,-7012793.55903761 -2938666.47904504,-7012831.25836814 -2938732.53136942,-7012863.31350634 -2938797.07370503,-7012872.03866765 -2938829.46283954)",track,yes,,,,,,,,,,
"LINESTRING (-7013122.69617635 -2938429.6865663,-7012946.47753359 -2937955.0279656,-7012819.53096694 -2937603.27993854)",track,yes,,,,,,,,,,
"LINESTRING (-7012946.47753359 -2937955.0279656,-7012663.69932757 -2938053.38975817,-7012458.53856802 -2938145.98930094)",track,yes,,,,,,,,,,
"LINESTRING (-7012780.54899931 -2938641.46832877,-7012498.2667896 -2938750.23284523,-7012487.59641851 -2938755.14203321,-7012479.6768952 -2938766.25330158,-7012473.50371852 -2938780.64736524,-7012463.47528216 -2938798.95216177,-7012452.0734326 -2938815.13927224,-7012438.72048604 -2938827.43637051,-7012424.18133212 -2938832.36538342,-7012402.62741346 -2938833.84999782,-7012386.98904355 -2938842.39091099,-7012373.35295302 -2938884.59324424,-7012386.40847864 -2938917.56231335,-7012396.75046324 -2938934.78350961,-7012399.92629916 -2938953.79850376,-7012393.94404335 -2938964.90868881,-7012382.09795381 -2938980.01581359)",track,,,,,,,,,,,
"LINESTRING (-7012119.85412201 -2938666.97089097,-7012255.62237976 -2939032.73039513)",track,yes,,,,,,,,,,
"LINESTRING (-7012006.30885363 -2938711.45276248,-7012119.85412201 -2938666.97089097,-7012254.72396149 -2938614.39699678,-7012284.43674124 -2938590.60736655,-7012304.33482251 -2938558.15173854,-7012308.33865651 -2938524.23739548,-7012306.66514252 -2938483.67818735,-7012312.7074522 -2938450.77414849,-7012330.53443382 -2938407.02646435,-7012353.51520104 -2938373.52464535,-7012391.94478194 -2938345.07619792,-7012438.06308052 -2938319.1663915,-7012492.92034035 -2938293.69639445,-7012542.13222815 -2938271.86266818)",track,yes,,,,,,,,,,
"LINESTRING (-7011803.08279294 -2938241.39367365,-7011398.51686734 -2938426.91285988)",track,yes,,,,,,,,,,
"LINESTRING (-7011339.58427433 -2939332.44661601,-7011384.14320947 -2939294.87762141,-7011395.76286963 -2939287.51599596,-7011417.27810688 -2939282.78596304,-7011438.2929978 -2939288.06491841,-7011453.79007802 -2939285.80516309,-7011474.88867091 -2939278.65398936,-7011594.87242446 -2939211.05008837,-7011798.63728231 -2939111.17093371)",track,,,,,,,,,,,
"LINESTRING (-7011029.7835348 -2939583.48975032,-7010652.80223949 -2939756.72291429,-7010634.39867163 -2939773.69920691)",track,,,,,,,,,,,
"LINESTRING (-7010760.98826042 -2937725.55135739,-7011398.51686734 -2938426.91285988,-7011734.59631787 -2938790.69500065,-7011763.96342429 -2938821.86227969,-7011783.56816833 -2938849.49224624,-7011801.14353451 -2938881.23381439,-7011821.80894174 -2938922.19854032,-7011827.08422169 -2938963.25550182,-7011819.53825368 -2939012.08215354,-7011805.88571903 -2939073.24905871,-7011798.63728231 -2939111.17093371,-7011735.21694302 -2939443.35961387,-7011747.61066262 -2939469.99026872,-7011741.51884074 -2939487.47042928,-7011745.6982681 -2939510.05874106,-7011758.06787449 -2939526.42744075,-7011767.34191741 -2939533.55459094,-7011797.85876061 -2939603.75454947,-7011816.86813622 -2939609.30449351,-7011828.27357433 -2939643.13776696,-7011843.8129766 -2939684.13892008,-7011866.49839287 -2939725.36295222)",track,yes,,,,,,,,,,
"LINESTRING (-7012847.67569418 -2937038.14697615,-7012683.83421641 -2937100.09059724,-7012666.45338378 -2937106.66400617,-7012680.45435412 -2937148.150674)",track,,,,,,,,,,,
"LINESTRING (-7012607.78429528 -2937310.28272588,-7012622.92864092 -2937314.31036866,-7012650.80636274 -2937347.1320819,-7012680.50456747 -2937357.04873488,-7012683.64574732 -2937360.02241234,-7012707.68708615 -2937368.86458818,-7012715.52892929 -2937373.21674873,-7012723.96652625 -2937382.47231251,-7012730.39086086 -2937397.72138004,-7012730.50969329 -2937414.47382103,-7012729.50490749 -2937418.42336545,-7012722.15936747 -2937428.15303329,-7012709.01846155 -2937438.35180428,-7012685.98620941 -2937447.00546067,-7012672.70652411 -2937455.54942246,-7012656.32978227 -2937471.31554802,-7012651.14741677 -2937482.42316911,-7012650.41808237 -2937494.76774093,-7012654.29879912 -2937506.86076208,-7012672.86544123 -2937535.41906884,-7012686.5064131 -2937560.74789835,-7012693.01181286 -2937576.83056459,-7012695.07181463 -2937605.0215272,-7012691.16473126 -2937634.41631076,-7012691.59707746 -2937647.65854261)",track,,,,,,,,,,,
"LINESTRING (-7012451.34146927 -2937378.56678651,-7012454.7605726 -2937402.78996786,-7012531.09100921 -2937578.85499681,-7012532.33471204 -2937595.92242845,-7012519.56369455 -2937614.91410535,-7012453.25408992 -2937645.87348021,-7012312.58763636 -2937685.71225523)",track,,,,,,,,,,,
"LINESTRING (-7012633.71458614 -2937281.74098094,-7012615.23030813 -2937300.9700075,-7012607.78429528 -2937310.28272588,-7012451.34146927 -2937378.56678651,-7012320.33260677 -2937430.92206691,-7012220.4160486 -2937455.99911803)",track,,,,,,,,,,,
"LINESTRING (-7012653.61038975 -2937019.59347872,-7012683.83421641 -2937100.09059724)",track,,,,,,,,,,,
"LINESTRING (-7012261.54778578 -2937554.21661666,-7012185.63138409 -2937585.70788446,-7012126.89189626 -2937613.27916432,-7012058.1464376 -2937640.20508528,-7012027.1260951 -2937654.12998887,-7011957.03804983 -2937678.96854601,-7011928.29059177 -2937687.01739114)",track,,,,,,,,,,,
"LINESTRING (-7011941.76969684 -2937735.79075127,-7011894.9607036 -2937752.71244075,-7011880.11493218 -2937754.77492128,-7011829.74526798 -2937771.85852684,-7011806.91818248 -2937777.2634815,-7011699.49034599 -2937811.79200149,-7011634.89977524 -2937824.55484991,-7011618.87508886 -2937829.98966865,-7011605.15815661 -2937838.47540372)",track,,,,,,,,,,,
"LINESTRING (-7012108.51774424 -2937316.85698829,-7011967.04640942 -2937375.89854215,-7011852.65356121 -2937418.74152132,-7011827.16003886 -2937430.15698199)",track,,,,,,,,,,,
"LINESTRING (-7009474.87202912 -2937895.0005202,-7009514.17767334 -2937981.03076858,-7009569.48068709 -2938094.18297298,-7009642.73148847 -2938222.42199893,-7009649.00722728 -2938233.39039069,-7009702.74095499 -2938336.80932798,-7009752.30814872 -2938422.78642048,-7009768.26447884 -2938434.51043721,-7009792.36497651 -2938429.76196489,-7009838.49651047 -2938408.97684062,-7009910.77559135 -2938379.32608949,-7009973.83177403 -2938352.82252523,-7010004.11365513 -2938351.12242059,-7010127.11680717 -2938293.98287024,-7010243.96233214 -2938238.95027413,-7010358.25930701 -2938186.48176113,-7010442.84491279 -2938147.53052673,-7010502.83136678 -2938127.18937521,-7010779.688152 -2938023.01552368)",track,yes,,,,,,,,,,
"LINESTRING (-7009642.73148847 -2938222.42199893,-7009591.44533611 -2938248.05069364,-7009528.03686073 -2938279.18300848,-7009439.14596351 -2938318.95495241,-7009384.20848414 -2938341.86517611,-7009338.39265377 -2938361.68244713,-7009309.88783606 -2938375.63026465,-7009286.02439759 -2938387.47151082,-7009240.3942919 -2938410.97576454,-7009230.39688052 -2938419.34529869,-7009240.87723364 -2938466.82150032,-7009248.89179702 -2938499.76340702,-7009258.81163352 -2938540.07244385,-7009269.97833416 -2938575.01981594,-7009276.52453177 -2938605.385543,-7009276.24961685 -2938630.09166984,-7009273.34034212 -2938643.37414859,-7009262.86228324 -2938650.61516303,-7009242.06372422 -2938658.28084795,-7009223.27803843 -2938660.96048984,-7009198.78693082 -2938664.95949868,-7009174.13569605 -2938673.93119485,-7009150.6114146 -2938693.58718961,-7009130.76918424 -2938709.53567018,-7009104.67129323 -2938730.67868456,-7009081.32784382 -2938747.1990747,-7009054.46002483 -2938760.61057291,-7009043.48200667 -2938764.41398487)",track,,,,,,,,,,,
"LINESTRING (-7009989.49088206 -2941123.84417911,-7009970.94685968 -2941015.56725662,-7009973.97002088 -2940999.11195379)",track,yes,,,,,,,,,,
"LINESTRING (-7009973.97002088 -2940999.11195379,-7009951.37645252 -2940998.19768853,-7009905.71480556 -2941005.09604549,-7009863.11838817 -2941010.95627511,-7009839.97514223 -2940993.1166403,-7009799.6965505 -2940919.37645478,-7009780.61105205 -2940888.15407626,-7009780.04675163 -2940866.0899267,-7009780.47126294 -2940836.82572173,-7009774.73786671 -2940814.77040361)",track,yes,,,,,,,,,,
"LINESTRING (-7015207.87045326 -2941561.68465222,-7015127.1243844 -2941372.05052994)",track,,,,,,,,,,,
"LINESTRING (-7016732.99840289 -2939940.57819302,-7016691.27855019 -2939948.56345784,-7016660.64275334 -2939954.80248941,-7016646.17133626 -2939950.35340013,-7016626.04966521 -2939935.36850057,-7016606.73617027 -2939930.48877362,-7016572.39190517 -2939941.08197118,-7016267.689165 -2940069.7763109,-7016125.38180354 -2940133.0756588)",track,,,,,,,,,,,
"LINESTRING (-7015912.31384576 -2941174.72864645,-7015812.25779696 -2940918.81106329)",track,,,,,,,,,,,
"LINESTRING (-7015432.20581021 -2941074.4350528,-7015607.48588305 -2941007.90524383,-7015773.89937676 -2940937.52686899,-7015787.37566093 -2940923.60983629,-7015794.34202958 -2940910.35983942,-7015804.99518968 -2940908.8224492,-7015812.25779696 -2940918.81106329)",track,,,,,,,,,,,
"LINESTRING (-7016184.46853927 -2940269.30167534,-7016125.38180354 -2940133.0756588,-7016061.29659782 -2939993.82751437)",track,,,,,,,,,,,
"LINESTRING (-7015061.3902685 -2940937.98044335,-7014950.20100643 -2940797.58602175)",track,,,,,,,,,,,
"LINESTRING (-7014744.11817154 -2937378.36651184,-7014455.41530971 -2937498.10724153,-7014369.03944966 -2937535.98077441,-7014343.75331161 -2937554.73044268,-7014328.57545548 -2937578.090227)",track,,,,,,,,,,,
"LINESTRING (-7007679.50946878 -2945549.15387367,-7007657.09469515 -2945487.88694932,-7007602.73366337 -2945371.38168404,-7007531.3896116 -2945238.21018619,-7007454.32419553 -2945075.92276832,-7007454.88235973 -2945045.76775383,-7007503.56875174 -2945012.18476362,-7007641.95672866 -2944942.92903679,-7007658.11606829 -2944916.49079314)",track,,,,,,,,,,,
"LINESTRING (-7008059.84712454 -2945947.89136648,-7008038.67048828 -2945896.71076344,-7008016.74311598 -2945824.89083684,-7007984.44827541 -2945771.75326129,-7007969.11755134 -2945717.77817076,-7007986.08984031 -2945655.63013424,-7008011.90164708 -2945624.76327367,-7008045.80567347 -2945597.83881108,-7008058.18345739 -2945582.94214781,-7008055.16633117 -2945558.82818219,-7007882.95751356 -2945221.24966905,-7007724.127095 -2944909.96615921,-7007713.70393652 -2944905.562937,-7007701.20700834 -2944908.16979186,-7007680.61747542 -2944917.81418594,-7007658.11606829 -2944916.49079314,-7007645.21460904 -2944904.89599663,-7007481.6869867 -2944570.96123062)",track,yes,,asphalt,,,,,,,,
"LINESTRING (-7008052.36665686 -2944326.97762509,-7008068.61162889 -2944357.230453,-7008090.19126516 -2944420.19673968,-7008112.97502629 -2944472.73882729,-7008133.89082752 -2944499.60989124,-7008291.37257633 -2944610.71167792,-7008425.75803241 -2944714.63206941,-7008635.0337704 -2944882.39043606,-7008681.12838881 -2944916.99688057)",track,,,,,,,,,,,
"LINESTRING (-7007883.201728 -2944027.70894297,-7007870.34703755 -2943980.06597757,-7007858.77372912 -2943912.26267981,-7007864.28615618 -2943871.33334535,-7007853.15824875 -2943847.81125023)",track,,,,,,,,,,,
"LINESTRING (-7008656.42370009 -2943623.72667428,-7008732.79935556 -2943695.61525937,-7008766.23961617 -2943723.68030208,-7008802.2432519 -2943754.32039725,-7008835.67781799 -2943777.2659596,-7008864.96600718 -2943793.05042458,-7008886.0627598 -2943809.88488088,-7008914.86107358 -2943829.25676421,-7008949.29387548 -2943845.02241846,-7008968.29375211 -2943850.58105541)",track,yes,,,,,,,,,,
"LINESTRING (-7009093.02407284 -2943181.9103423,-7009092.71408043 -2943166.21828963,-7009102.8739177 -2943125.10148142,-7009110.47690519 -2943091.69297649,-7009125.7817104 -2943060.82105322)",track,yes,,,,,,,,,,
"LINESTRING (-7008360.93989501 -2942845.2252654,-7008380.39679865 -2942831.79840997,-7008403.96408176 -2942820.38146149,-7008438.8595912 -2942812.01480088,-7008466.53714091 -2942797.50635495,-7008491.63948041 -2942780.44783744,-7008504.42906455 -2942767.55592488,-7008535.69806246 -2942758.67478554,-7008568.01255512 -2942747.73930185,-7008594.66912886 -2942735.29696144,-7008626.94666442 -2942714.10931864,-7008648.45919404 -2942701.68662333,-7008668.47377433 -2942700.05589205,-7008696.20177886 -2942700.93688148,-7008726.4436055 -2942689.00196622,-7008760.81402933 -2942679.07086537,-7008792.10283134 -2942675.34572293,-7008816.22181766 -2942670.60491737)",track,yes,,,,,,,,,,
"LINESTRING (-7008514.0536028 -2943082.92216214,-7008503.32542471 -2943115.58280352,-7008521.35227916 -2943138.59596005,-7008540.91427481 -2943155.96793291,-7008557.88252904 -2943165.63332002,-7008581.51841686 -2943174.76373151,-7008605.15436688 -2943183.89419214)",track,yes,,,,,,,,,,
"LINESTRING (-6994840.28301528 -2937001.52348654,-6994826.21577839 -2937047.39180887,-6994773.76065934 -2937083.81469677,-6994770.86426562 -2937098.15513134,-6994768.94512418 -2937121.65615215,-6994752.19727151 -2937157.56999235,-6994725.63051738 -2937212.29852039,-6994710.60447179 -2937258.16317159)",track,yes,,,,,,,,,,
"LINESTRING (-6996648.44478038 -2936741.22643978,-6996540.24860615 -2936653.02142161,-6996558.54980876 -2936613.07251207,-6996554.88917438 -2936586.50618363,-6996531.02926233 -2936568.79618684,-6996473.70284611 -2936559.79769576,-6996448.47471811 -2936543.8820909,-6996412.93438812 -2936530.78902608,-6996402.52431934 -2936501.88808112)",track,yes,,,,,,,,,,
"LINESTRING (-6994573.75758014 -2936363.10824875,-6994594.24268943 -2936384.00214662,-6994613.37248358 -2936399.40282416,-6994631.73659356 -2936409.58076772,-6994682.1270741 -2936420.33183373,-6994702.41973618 -2936425.88711881,-6994755.42676705 -2936456.14708977,-6994793.64281267 -2936480.97034067,-6994848.59756714 -2936514.04832366,-6994877.01207148 -2936542.19648968)",track,yes,,,,,,,,,,
"LINESTRING (-7004890.9813996 -2935365.75032999,-7004905.3935713 -2935433.90853519,-7004900.29033188 -2935485.29666601,-7004889.02811067 -2935531.15460906,-7004876.39393974 -2935557.40270825,-7004864.43563141 -2935575.78042833,-7004858.64157469 -2935593.97100707,-7004859.55627034 -2935610.8678616,-7004863.28915334 -2935650.18144646,-7004872.13886951 -2935686.3244578,-7004876.84366867 -2935720.06403992,-7004869.78271768 -2935745.85405168,-7004821.53478645 -2935772.73705824,-7004793.97862429 -2935790.20084674,-7004788.83102586 -2935808.88850107)",track,yes,,,,,,,,,,
"LINESTRING (-7002613.11974611 -2934893.61876728,-7002620.93859968 -2934947.67249637,-7002660.67340028 -2935052.39215483,-7002668.21623377 -2935080.22341959,-7002713.595411 -2935186.18175024,-7002760.56176552 -2935316.99688044,-7002791.86692152 -2935406.04573694,-7002747.31274115 -2935422.72418267,-7002560.76652129 -2935473.03383887,-7002473.40670654 -2935501.45448395,-7002372.18363405 -2935544.77792847,-7002310.14891603 -2935574.80084098,-7002280.69179633 -2935586.66144493,-7002261.19056056 -2935593.79165172)",track,yes,,,,,,,,,,
"LINESTRING (-6999857.5193911 -2931631.29362854,-6999909.83838816 -2931615.51573529,-6999940.7461177 -2931589.69355183,-6999961.36025714 -2931552.07488292,-6999976.95968062 -2931539.56458091,-7000017.88884494 -2931519.36505369,-7000121.31772954 -2931478.79930226,-7000196.18490078 -2931447.04144359,-7000228.75901224 -2931434.16579882,-7000257.62455559 -2931431.56057635,-7000290.7780681 -2931422.99274375,-7000319.29705227 -2931406.08961208,-7000379.2364581 -2931354.19826361,-7000416.59302211 -2931320.77522901,-7000455.36042072 -2931299.48625933,-7000485.27576768 -2931292.01871545,-7000507.3648906 -2931282.7068507,-7000523.73202515 -2931261.84560911,-7000533.93605705 -2931249.36626297,-7000556.22475423 -2931227.37213724,-7000569.58824359 -2931194.91754912,-7000580.57954666 -2931182.17034919,-7000592.7264548 -2931180.74352174,-7000619.99438028 -2931184.08689784,-7000642.90063073 -2931179.90297435,-7000699.19382984 -2931157.1592346,-7000757.5236031 -2931105.81086337,-7000806.33025209 -2931034.2723124,-7000823.79932299 -2931019.32190596,-7000836.99242132 -2931015.73701933,-7000852.1021497 -2931015.10467154,-7000870.65292981 -2930997.98421085,-7000886.00636873 -2930992.76364509,-7000903.27343304 -2930993.19985662,-7000925.37509463 -2930989.28897615,-7000936.91625877 -2930975.45286648,-7000980.28792157 -2930895.86840196,-7000986.96763012 -2930878.27862787,-7001000.16389987 -2930871.98914272,-7001017.17272237 -2930874.31514555,-7001071.54236916 -2930909.87198329,-7001144.99834808 -2930924.52173606,-7001189.03566476 -2930921.15923312,-7001206.5034717 -2930919.82740225,-7001270.80203328 -2930939.37344724,-7001432.21188094 -2931023.13844916,-7001485.26332083 -2931056.5049963,-7001564.47274941 -2931090.80842775,-7001587.58872301 -2931135.19431937,-7001600.14327153 -2931169.65423975,-7001621.78286684 -2931180.29897958,-7001676.35794319 -2931200.47194054,-7001846.76712524 -2931232.60711303,-7001863.53080573 -2931242.22729983,-7001865.78559291 -2931262.16707409,-7001841.14943191 -2931437.17630342,-7001810.32559989 -2931487.28579459,-7001576.74625237 -2931833.30052628,-7001562.29772192 -2931850.64295741,-7001537.01467137 -2931881.0272406,-7001510.3117291 -2931893.99479465)",track,yes,,,,,,,,,,
"LINESTRING (-7000705.67896581 -2933139.91151015,-7000705.63532039 -2933113.04099578,-7000689.63416504 -2933091.07964325,-7000656.78236347 -2933080.00292043,-7000576.98303283 -2933070.68556466,-7000553.69926161 -2933050.25688297,-7000549.45662119 -2933012.79391576,-7000537.25376603 -2932924.9820013,-7000517.13798845 -2932719.62280587,-7000505.51026969 -2932687.28985997,-7000485.43079001 -2932668.43535166,-7000462.32997161 -2932660.88652313,-7000443.25483912 -2932634.85193635,-7000439.50099978 -2932593.35295725,-7000423.65240456 -2932475.53354504,-7000420.20059516 -2932384.29751023,-7000368.75848444 -2932269.25696986,-7000329.90815222 -2932154.05379844,-7000305.35387008 -2932130.70154059,-7000271.4654774 -2932116.56214433,-7000248.82907925 -2932100.2983188,-7000235.85075556 -2932061.91423646,-7000224.93898191 -2932024.56832529,-7000203.80181004 -2931997.51632858,-7000187.2874291 -2931968.91375401,-7000171.23082265 -2931931.57624408,-7000145.48649361 -2931903.40816906,-7000116.70064259 -2931883.76822826,-7000097.04213775 -2931872.59499167,-7000054.78071272 -2931856.88032969,-7000010.9027599 -2931837.21069019,-6999966.20156857 -2931811.3303819,-6999921.9694609 -2931757.28049889,-6999889.99125537 -2931698.34925949,-6999870.19659599 -2931654.03245406,-6999857.5193911 -2931631.29362854)",track,,Conset Bay,,,,,,,,,
"LINESTRING (-7008779.68205399 -2927632.34612155,-7008518.53470048 -2927596.82193115,-7008245.84940643 -2927449.82907483,-7007850.72002732 -2927196.54137149,-7007775.03756998 -2927134.82592478,-7007684.76788562 -2927084.16970875,-7007427.59915626 -2926860.30165507,-7007309.09646341 -2926767.24196829,-7007132.30987753 -2926689.77965952,-7006788.22421415 -2926552.27726942)",track,yes,,,,,,,,,,
"LINESTRING (-7005720.81516514 -2928104.07164163,-7005743.87165918 -2928130.34404811,-7005767.95046841 -2928165.94184581,-7005838.68439233 -2928276.7319436,-7005944.79701431 -2928443.99208971)",track,,,,,,,,,,,
"LINESTRING (-7003101.99088918 -2928804.4668884,-7003084.68087407 -2928834.57384259,-7003073.91649582 -2928859.19540532,-7003071.79438696 -2928885.99707103,-7003062.0681791 -2928924.70810003)",track,,,,,,,,,,,
"LINESTRING (-7003185.63910364 -2928792.95878845,-7003164.97436995 -2928790.93721892,-7003141.55982924 -2928796.12059073,-7003120.50823293 -2928798.61489702,-7003101.99088918 -2928804.4668884)",track,,,,,,,,,,,
"LINESTRING (-7003207.25645315 -2928664.99359225,-7003186.01456465 -2928690.62142926,-7003165.55731888 -2928732.06428674,-7003140.56034302 -2928757.33093786,-7003112.32590496 -2928778.57766434,-7003103.31933826 -2928793.30017821,-7003101.99088918 -2928804.4668884)",track,,,,,,,,,,,
"LINESTRING (-7002188.18795888 -2929614.04466466,-7002161.91383126 -2929593.20120433,-7001956.26449951 -2929424.66684782,-7001840.6688778 -2929347.59581058,-7001801.09068456 -2929329.13060756,-7001769.21212928 -2929295.38728644,-7001747.47299173 -2929275.50178808,-7001724.80992987 -2929259.84298073,-7001696.79054815 -2929239.73929382,-7001682.93243449 -2929228.86783166,-7001653.05032953 -2929233.38322956,-7001628.11821801 -2929251.10489559,-7001614.8579507 -2929262.33538622,-7001570.67463426 -2929266.57610063,-7001530.08175734 -2929268.09987285,-7001503.35980316 -2929266.09160897,-7001493.19003925 -2929260.86782696,-7001472.37543957 -2929224.20117077,-7001451.88925628 -2929184.08434221,-7001434.36059476 -2929159.77691686,-7001424.45304537 -2929154.44360509,-7001389.8597301 -2929131.13019357,-7001366.63703396 -2929121.95105736,-7001348.71157281 -2929116.8066296,-7001330.32954271 -2929130.3535659)",track,yes,,,,,,,,,,
"LINESTRING (-7003194.4602962 -2928209.40949529,-7003165.94911662 -2928208.50372437,-7003141.39245502 -2928206.19019447,-7003114.51722008 -2928198.62230998,-7003098.62755895 -2928202.33156852,-7003075.13337475 -2928224.01568296,-7003056.7628252 -2928240.5544732,-7003031.62776833 -2928242.2484721,-7003010.55484878 -2928230.59512934,-7002983.90496545 -2928232.82539677,-7002964.99408598 -2928247.82707633,-7002952.30087913 -2928276.11800289,-7002956.72137141 -2928320.93373922,-7002959.79217687 -2928349.38928294,-7002980.41304006 -2928381.39664425,-7002999.48440478 -2928402.11073734,-7003002.05180406 -2928416.2330815,-7003000.23728305 -2928437.80877296,-7002995.42188832 -2928466.61346083,-7003001.9840876 -2928499.3094919,-7002998.94361534 -2928534.00415266,-7002987.72759284 -2928566.01175556,-7002960.31329846 -2928588.55738037,-7002936.53401062 -2928600.44174655,-7002916.38287997 -2928615.96681549,-7002905.98945744 -2928627.53530331,-7002896.58602259 -2928644.97413033,-7002884.81417174 -2928676.63757544,-7002871.13559888 -2928692.356074,-7002864.81739451 -2928701.16467454,-7002859.45632353 -2928709.3811514,-7002847.56208628 -2928716.87135109,-7002835.02453356 -2928720.33988112,-7002826.18963418 -2928724.30991209,-7002818.28156108 -2928731.01688518,-7002809.57605039 -2928751.10630286,-7002802.50408498 -2928785.92216049,-7002801.14994949 -2928830.07949647)",track,yes,,,,,,,,,,
"LINESTRING (-7001349.57294216 -2930231.81984356,-7001330.06992552 -2930204.96771053,-7001285.80727938 -2930171.46390886,-7001241.27231818 -2930140.16262477)",track,,,,,,,,,,,
"LINESTRING (-7001330.06992552 -2930204.96771053,-7001304.10997915 -2930205.44174555,-7001292.24072024 -2930210.52351696,-7001285.11989507 -2930229.63727466,-7001274.09658169 -2930248.00983603,-7001251.52555025 -2930270.82212844,-7001234.23919219 -2930277.17285801,-7001208.4311074 -2930270.95945432,-7001144.17396631 -2930264.63472211,-7001124.50373058 -2930260.22502547,-7001082.85768619 -2930248.01202327,-7001047.89105137 -2930242.2107678,-7001017.80412807 -2930240.15650867,-7001000.45995243 -2930241.26361907,-7000968.13008372 -2930217.48560474,-7000950.83654237 -2930193.91801996,-7000938.360769 -2930172.97155563,-7000903.52272005 -2930135.64998503)",track,,,,,,,,,,,
"LINESTRING (-7000056.98616479 -2934502.82926847,-7000081.25784315 -2934518.05119921,-7000095.33532992 -2934555.24209133,-7000140.88198349 -2934587.03147314,-7000228.47538764 -2934595.4767578)",track,yes,,,,,,,,,,
"LINESTRING (-7000118.25578922 -2933482.08189779,-7000053.27493297 -2933460.27680045,-7000013.65375791 -2933446.7495973,-6999980.49642143 -2933427.79214227,-6999940.59103484 -2933400.84901476)",track,,,,,,,,,,,
"LINESTRING (-7009001.4079977 -2944245.7152219,-7009011.64326843 -2944237.09078511,-7009022.67692935 -2944220.51341553,-7009031.15232333 -2944213.89776829,-7009044.47340083 -2944213.67449476,-7009063.08342509 -2944218.07518306,-7009072.68771174 -2944211.61039892,-7009073.15044007 -2944200.2265503,-7009075.50470561 -2944183.36782156,-7009077.53713664 -2944165.55254535,-7009087.44057689 -2944150.42253065,-7009094.61914432 -2944128.73594188,-7009103.8034 -2944084.40773753,-7009107.29245418 -2944067.718185,-7009114.69081377 -2944032.68073391)",track,,,,,,,,,,,
"LINESTRING (-7009637.89194646 -2943492.17954964,-7009625.89118527 -2943499.41550656,-7009588.05367919 -2943502.31971648,-7009548.59723948 -2943505.21842196,-7009517.1837272 -2943514.51406746,-7009475.01268935 -2943522.10122607,-7009438.20525573 -2943526.52151661,-7009393.38951424 -2943531.76603492,-7009356.50816482 -2943535.96546506,-7009325.67043239 -2943524.72040773,-7009289.69806357 -2943509.31168334,-7009240.58002873 -2943495.42049426,-7009176.37173988 -2943478.86945784,-7009121.39771608 -2943469.11128743,-7009063.3694361 -2943453.42053254,-7009018.40480614 -2943429.56110417)",track,yes,,,,,,,,,,
"LINESTRING (-7009899.71724103 -2943070.23108904,-7010129.72792103 -2943579.29718245,-7010126.10197265 -2943603.4125648,-7010110.87011941 -2943625.08140412,-7009829.33267966 -2943735.75199368,-7009782.65239423 -2943749.82174588,-7009747.78591789 -2943763.33740754)",track,yes,,,,,,,,,,
"LINESTRING (-7010309.87411021 -2942859.55134665,-7010318.94434601 -2942894.20841363,-7010331.77763069 -2942912.22277983)",track,yes,,,,,,,,,,
